# C/T	URI	Lens	Limit	response_times_getLinksetsForLens	response_times_insert	response_times_pharmacology	response_times_drop	triple_count_pharmacology
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL3033	http://www.openphacts.org/lenses/chemistryTautomer	10	0.021	5.773	0.635	0.048	0
C	http://www.conceptwiki.org/concept/fbdc4850-ef77-47d5-99b9-b76c3d94c960	http://www.openphacts.org/lenses/conceptWikiGene	25	0.019	2.763	1.051	0.051	203
C	http://ops.rsc.org/OPS973608	http://www.openphacts.org/lenses/chemistryStrict	25	0.020	0.438	0.675	0.050	0
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_4907	http://www.openphacts.org/lenses/chemistryAll	25	0.021	6.855	0.645	0.051	0
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/2440	http://www.openphacts.org/lenses/chemistryParentChild	50	0.017	5.760	0.645	0.050	0
T	http://www.conceptwiki.org/concept/fa8a0395-df70-4295-836b-a9d081ded7ce	http://www.openphacts.org/lenses/conceptWikiGene	10	0.019	0.507	0.539	0.048	0
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL3553	http://www.openphacts.org/lenses/chemistryParentChildTautomer	50	0.019	7.433	300.525	0.055	0
T	http://www.conceptwiki.org/concept/feabb102-1f82-4c46-be96-084a20b55d6c	http://www.openphacts.org/lenses/chemistryParentChild	25	0.017	0.990	0.535	0.048	0
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_4346	http://www.openphacts.org/lenses/all	10	0.020	1.724	3.437	0.048	31
C	http://www.conceptwiki.org/concept/f9eee40e-9422-4659-b3d9-cc2d07109958	http://www.openphacts.org/lenses/chemistryChildParentTautomer	25	0.018	2.896	0.781	0.047	30
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL2097	http://www.openphacts.org/lenses/chemistryAll	10	0.016	3.510	23.518	0.051	226
C	http://www.conceptwiki.org/concept/fbd3931b-db94-4e1f-afeb-122fb95f7056	http://www.openphacts.org/lenses/conceptWikiGene	50	0.019	4.150	0.823	0.043	153
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_4695	http://www.openphacts.org/lenses/chemistryChildParent	25	0.017	8.469	2.967	0.045	72
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL76773	http://www.openphacts.org/lenses/conceptWikiGene	10	0.019	4.266	0.642	0.117	93
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL9663	http://www.openphacts.org/lenses/chemistryParentChild	25	0.021	2.531	0.609	0.045	102
T	http://www.conceptwiki.org/concept/fd3f9bdc-c846-4462-ad25-e357cb977cda	http://www.openphacts.org/lenses/chemistryParentChild	50	0.017	0.367	0.523	0.047	0
T	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL1743124	http://www.openphacts.org/lenses/chemistryParentChild	50	0.018	6.744	300.384	0.053	0
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/1525	http://www.openphacts.org/lenses/chemistryChildParent	25	0.016	300.506	0.507	0.050	0
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL78193	http://www.openphacts.org/lenses/chemistryParentChildTautomer	25	0.015	2.595	0.609	0.050	51
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_2234	http://www.openphacts.org/lenses/chemistryTautomer	50	0.019	10.213	106.098	0.060	1110
C	http://www.conceptwiki.org/concept/febbb2e3-9cb4-4c45-ac91-ae1f699369f5	http://www.openphacts.org/lenses/default	50	0.020	2.821	0.713	0.046	148
T	http://www4.wiwiss.fu-berlin.de/drugbank/resource/targets/264	http://www.openphacts.org/lenses/conceptWikiGene	25	0.020	3.717	0.598	0.050	0
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_5827	http://www.openphacts.org/lenses/all	50	0.018	5.070	11.580	0.050	101
C	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL83654	http://www.openphacts.org/lenses/chemistryParentChild	10	0.017	2.614	0.583	0.047	65
C	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00982	http://www.openphacts.org/lenses/chemistryParentChildTautomer	50	0.019	300.105	158.001	0.062	1081
C	http://ops.rsc.org/OPS987838	http://www.openphacts.org/lenses/chemistryChildParent	10	0.023	2.758	0.646	0.051	72
C	http://ops.rsc.org/OPS988637	http://www.openphacts.org/lenses/chemistryChildParent	10	0.020	4.353	0.730	0.049	208
T	http://rdf.ebi.ac.uk/resource/chembl/targetcomponent/CHEMBL_TC_1488	http://www.openphacts.org/lenses/chemistryChildParentTautomer	10	0.020	6.738	14.982	0.047	97
T	http://www.conceptwiki.org/concept/fdb26cfa-c199-4439-9151-044a160f4af4	http://www.openphacts.org/lenses/chemistryTautomer	10	0.017	1.096	0.490	0.046	0
